,modality,abcd_structure,abcd_description,atlas_description,atlas,atlas_value,atlas_fname
rsfmri_var_cortgordon_gp210rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 210,SMhand,Gordon,210,
rsfmri_var_cortgordon_gp211rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 211,DorsalAttn,Gordon,211,
rsfmri_var_cortgordon_gp212rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 212,SMmouth,Gordon,212,
rsfmri_var_cortgordon_gp213rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 213,SMhand,Gordon,213,
rsfmri_var_cortgordon_gp214rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 214,SMhand,Gordon,214,
rsfmri_var_cortgordon_gp215rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 215,SMhand,Gordon,215,
rsfmri_var_cortgordon_gp216rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 216,SMhand,Gordon,216,
rsfmri_var_cortgordon_gp217rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 217,SMhand,Gordon,217,
rsfmri_var_cortgordon_gp218rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 218,SMmouth,Gordon,218,
rsfmri_var_cortgordon_gp219rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 219,CinguloOperc,Gordon,219,
rsfmri_var_cortgordon_gp220rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 220,Default,Gordon,220,
rsfmri_var_cortgordon_gp221rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 221,VentralAttn,Gordon,221,
rsfmri_var_cortgordon_gp222rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 222,VentralAttn,Gordon,222,
rsfmri_var_cortgordon_gp223rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 223,CinguloOperc,Gordon,223,
rsfmri_var_cortgordon_gp224rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 224,Auditory,Gordon,224,
rsfmri_var_cortgordon_gp225rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 225,Default,Gordon,225,
rsfmri_var_cortgordon_gp226rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 226,VentralAttn,Gordon,226,
rsfmri_var_cortgordon_gp227rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 227,Auditory,Gordon,227,
rsfmri_var_cortgordon_gp228rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 228,VentralAttn,Gordon,228,
rsfmri_var_cortgordon_gp229rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 229,VentralAttn,Gordon,229,
rsfmri_var_cortgordon_gp230rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 230,Auditory,Gordon,230,
rsfmri_var_cortgordon_gp231rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 231,VentralAttn,Gordon,231,
rsfmri_var_cortgordon_gp232rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 232,Auditory,Gordon,232,
rsfmri_var_cortgordon_gp233rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 233,Auditory,Gordon,233,
rsfmri_var_cortgordon_gp234rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 234,CinguloOperc,Gordon,234,
rsfmri_var_cortgordon_gp235rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 235,CinguloOperc,Gordon,235,
rsfmri_var_cortgordon_gp236rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 236,DorsalAttn,Gordon,236,
rsfmri_var_cortgordon_gp237rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 237,VentralAttn,Gordon,237,
rsfmri_var_cortgordon_gp238rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 238,CinguloOperc,Gordon,238,
rsfmri_var_cortgordon_gp239rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 239,Auditory,Gordon,239,
rsfmri_var_cortgordon_gp240rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 240,FrontoParietal,Gordon,240,
rsfmri_var_cortgordon_gp241rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 241,VentralAttn,Gordon,241,
rsfmri_var_cortgordon_gp242rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 242,VentralAttn,Gordon,242,
rsfmri_var_cortgordon_gp243rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 243,VentralAttn,Gordon,243,
rsfmri_var_cortgordon_gp244rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 244,Auditory,Gordon,244,
rsfmri_var_cortgordon_gp245rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 245,CinguloOperc,Gordon,245,
rsfmri_var_cortgordon_gp246rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 246,CinguloOperc,Gordon,246,
rsfmri_var_cortgordon_gp247rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 247,Salience,Gordon,247,
rsfmri_var_cortgordon_gp248rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 248,CinguloOperc,Gordon,248,
rsfmri_var_cortgordon_gp249rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 249,CinguloOperc,Gordon,249,
rsfmri_var_cortgordon_gp250rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 250,DorsalAttn,Gordon,250,
rsfmri_var_cortgordon_gp251rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 251,Visual,Gordon,251,
rsfmri_var_cortgordon_gp252rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 252,DorsalAttn,Gordon,252,
rsfmri_var_cortgordon_gp253rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 253,DorsalAttn,Gordon,253,
rsfmri_var_cortgordon_gp254rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 254,CinguloParietal,Gordon,254,
rsfmri_var_cortgordon_gp255rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 255,Visual,Gordon,255,
rsfmri_var_cortgordon_gp256rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 256,Visual,Gordon,256,
rsfmri_var_cortgordon_gp257rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 257,Default,Gordon,257,
rsfmri_var_cortgordon_gp258rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 258,Visual,Gordon,258,
rsfmri_var_cortgordon_gp259rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 259,Default,Gordon,259,
rsfmri_var_cortgordon_gp260rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 260,FrontoParietal,Gordon,260,
rsfmri_var_cortgordon_gp261rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 261,FrontoParietal,Gordon,261,
rsfmri_var_cortgordon_gp262rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 262,DorsalAttn,Gordon,262,
rsfmri_var_cortgordon_gp263rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 263,Visual,Gordon,263,
rsfmri_var_cortgordon_gp264rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 264,Visual,Gordon,264,
rsfmri_var_cortgordon_gp265rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 265,Visual,Gordon,265,
rsfmri_var_cortgordon_gp266rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 266,DorsalAttn,Gordon,266,
rsfmri_var_cortgordon_gp267rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 267,Visual,Gordon,267,
rsfmri_var_cortgordon_gp268rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 268,Auditory,Gordon,268,
rsfmri_var_cortgordon_gp269rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 269,Auditory,Gordon,269,
rsfmri_var_cortgordon_gp270rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 270,SMhand,Gordon,270,
rsfmri_var_cortgordon_gp271rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 271,DorsalAttn,Gordon,271,
rsfmri_var_cortgordon_gp272rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 272,FrontoParietal,Gordon,272,
rsfmri_var_cortgordon_gp273rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 273,FrontoParietal,Gordon,273,
rsfmri_var_cortgordon_gp274rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 274,CinguloOperc,Gordon,274,
rsfmri_var_cortgordon_gp275rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 275,DorsalAttn,Gordon,275,
rsfmri_var_cortgordon_gp276rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 276,FrontoParietal,Gordon,276,
rsfmri_var_cortgordon_gp277rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 277,FrontoParietal,Gordon,277,
rsfmri_var_cortgordon_gp278rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 278,Default,Gordon,278,
rsfmri_var_cortgordon_gp279rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 279,Default,Gordon,279,
rsfmri_var_cortgordon_gp280rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 280,None,Gordon,280,
rsfmri_var_cortgordon_gp281rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 281,None,Gordon,281,
rsfmri_var_cortgordon_gp282rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 282,None,Gordon,282,
rsfmri_var_cortgordon_gp283rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 283,None,Gordon,283,
rsfmri_var_cortgordon_gp284rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 284,None,Gordon,284,
rsfmri_var_cortgordon_gp285rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 285,None,Gordon,285,
rsfmri_var_cortgordon_gp286rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 286,None,Gordon,286,
rsfmri_var_cortgordon_gp287rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 287,None,Gordon,287,
rsfmri_var_cortgordon_gp288rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 288,None,Gordon,288,
rsfmri_var_cortgordon_gp289rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 289,None,Gordon,289,
rsfmri_var_cortgordon_gp290rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 290,Default,Gordon,290,
rsfmri_var_cortgordon_gp291rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 291,None,Gordon,291,
rsfmri_var_cortgordon_gp292rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 292,None,Gordon,292,
rsfmri_var_cortgordon_gp293rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 293,Visual,Gordon,293,
rsfmri_var_cortgordon_gp294rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 294,RetrosplenialTemporal,Gordon,294,
rsfmri_var_cortgordon_gp295rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 295,RetrosplenialTemporal,Gordon,295,
rsfmri_var_cortgordon_gp296rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 296,None,Gordon,296,
rsfmri_var_cortgordon_gp297rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 297,None,Gordon,297,
rsfmri_var_cortgordon_gp298rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 298,Visual,Gordon,298,
rsfmri_var_cortgordon_gp299rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 299,Visual,Gordon,299,
rsfmri_var_cortgordon_gp300rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 300,None,Gordon,300,
rsfmri_var_cortgordon_gp301rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 301,None,Gordon,301,
rsfmri_var_cortgordon_gp302rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 302,None,Gordon,302,
rsfmri_var_cortgordon_gp303rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 303,None,Gordon,303,
rsfmri_var_cortgordon_gp304rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 304,None,Gordon,304,
rsfmri_var_cortgordon_gp305rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 305,None,Gordon,305,
rsfmri_var_cortgordon_gp306rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 306,None,Gordon,306,
rsfmri_var_cortgordon_gp307rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 307,Visual,Gordon,307,
rsfmri_var_cortgordon_gp308rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 308,Visual,Gordon,308,
rsfmri_var_cortgordon_gp309rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 309,Visual,Gordon,309,
rsfmri_var_cortgordon_gp310rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 310,Visual,Gordon,310,
rsfmri_var_cortgordon_gp311rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 311,Visual,Gordon,311,
rsfmri_var_cortgordon_gp312rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 312,None,Gordon,312,
rsfmri_var_cortgordon_gp313rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 313,RetrosplenialTemporal,Gordon,313,
rsfmri_var_cortgordon_gp314rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 314,None,Gordon,314,
rsfmri_var_cortgordon_gp315rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 315,Default,Gordon,315,
rsfmri_var_cortgordon_gp316rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 316,Default,Gordon,316,
rsfmri_var_cortgordon_gp317rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 317,CinguloOperc,Gordon,317,
rsfmri_var_cortgordon_gp318rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 318,CinguloOperc,Gordon,318,
rsfmri_var_cortgordon_gp319rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 319,FrontoParietal,Gordon,319,
rsfmri_var_cortgordon_gp320rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 320,FrontoParietal,Gordon,320,
rsfmri_var_cortgordon_gp321rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 321,Default,Gordon,321,
rsfmri_var_cortgordon_gp322rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 322,Default,Gordon,322,
rsfmri_var_cortgordon_gp323rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 323,Default,Gordon,323,
rsfmri_var_cortgordon_gp324rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 324,Default,Gordon,324,
rsfmri_var_cortgordon_gp325rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 325,Default,Gordon,325,
rsfmri_var_cortgordon_gp326rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 326,Default,Gordon,326,
rsfmri_var_cortgordon_gp327rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 327,FrontoParietal,Gordon,327,
rsfmri_var_cortgordon_gp328rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 328,FrontoParietal,Gordon,328,
rsfmri_var_cortgordon_gp329rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 329,Auditory,Gordon,329,
rsfmri_var_cortgordon_gp330rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 330,Auditory,Gordon,330,
rsfmri_var_cortgordon_gp331rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 331,Default,Gordon,331,
rsfmri_var_cortgordon_gp332rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 332,VentralAttn,Gordon,332,
rsfmri_var_cortgordon_gp333rh,fmri,abcd_mrirstv02,Temporal variance in right hemisphere cortical Gordon parcel 333,VentralAttn,Gordon,333,
rsfmri_var_scs_crbcortexlh,fmri,abcd_mrirstv02,Temporal variance in ASEG ROI left-cerebellum-cortex,,Subcortical,,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/harvox-subcortical-maxprob-thr50-2mm.nii
rsfmri_var_scs_tplh,fmri,abcd_mrirstv02,Temporal variance in ASEG ROI left-thalamus-proper,Left Thalamus,Subcortical,4,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/harvox-subcortical-maxprob-thr50-2mm.nii
rsfmri_var_scs_caudatelh,fmri,abcd_mrirstv02,Temporal variance in ASEG ROI left-caudate,Left Caudate,Subcortical,5,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/harvox-subcortical-maxprob-thr50-2mm.nii
rsfmri_var_scs_putamenlh,fmri,abcd_mrirstv02,Temporal variance in ASEG ROI left-putamen,Left Putamen,Subcortical,6,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/harvox-subcortical-maxprob-thr50-2mm.nii
rsfmri_var_scs_pallidumlh,fmri,abcd_mrirstv02,Temporal variance in ASEG ROI left-pallidum,Left Pallidum,Subcortical,7,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/harvox-subcortical-maxprob-thr50-2mm.nii
rsfmri_var_scs_brainstem,fmri,abcd_mrirstv02,Temporal variance in ASEG ROI brain-stem,,Subcortical,,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/harvox-subcortical-maxprob-thr50-2mm.nii
rsfmri_var_scs_hpuslh,fmri,abcd_mrirstv02,Temporal variance in ASEG ROI left-hippocampus,Left Hippocampus,Subcortical,9,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/harvox-subcortical-maxprob-thr50-2mm.nii
rsfmri_var_scs_amygdalalh,fmri,abcd_mrirstv02,Temporal variance in ASEG ROI left-amygdala,Left Amygdala,Subcortical,10,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/harvox-subcortical-maxprob-thr50-2mm.nii
rsfmri_var_scs_aalh,fmri,abcd_mrirstv02,Temporal variance in ASEG ROI left-accumbens-area,,Subcortical,,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/harvox-subcortical-maxprob-thr50-2mm.nii
rsfmri_var_scs_ventraldclh,fmri,abcd_mrirstv02,Temporal variance in ASEG ROI left-ventraldc,,Subcortical,,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/harvox-subcortical-maxprob-thr50-2mm.nii
rsfmri_var_scs_crbcortexrh,fmri,abcd_mrirstv02,Temporal variance in ASEG ROI right-cerebellum-cortex,,Subcortical,,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/harvox-subcortical-maxprob-thr50-2mm.nii
rsfmri_var_scs_tprh,fmri,abcd_mrirstv02,Temporal variance in ASEG ROI right-thalamus-proper,Right Thalamus,Subcortical,15,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/harvox-subcortical-maxprob-thr50-2mm.nii
rsfmri_var_scs_caudaterh,fmri,abcd_mrirstv02,Temporal variance in ASEG ROI right-caudate,Right Caudate,Subcortical,16,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/harvox-subcortical-maxprob-thr50-2mm.nii
rsfmri_var_scs_putamenrh,fmri,abcd_mrirstv02,Temporal variance in ASEG ROI right-putamen,Right Putamen,Subcortical,17,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/harvox-subcortical-maxprob-thr50-2mm.nii
rsfmri_var_scs_pallidumrh,fmri,abcd_mrirstv02,Temporal variance in ASEG ROI right-pallidum,Right Pallidum,Subcortical,18,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/harvox-subcortical-maxprob-thr50-2mm.nii
rsfmri_var_scs_hpusrh,fmri,abcd_mrirstv02,Temporal variance in ASEG ROI right-hippocampus,Right Hippocampus,Subcortical,19,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/harvox-subcortical-maxprob-thr50-2mm.nii
rsfmri_var_scs_amygdalarh,fmri,abcd_mrirstv02,Temporal variance in ASEG ROI right-amygdala,Right Amygdala,Subcortical,20,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/harvox-subcortical-maxprob-thr50-2mm.nii
rsfmri_var_scs_aarh,fmri,abcd_mrirstv02,Temporal variance in ASEG ROI right-accumbens-area,,Subcortical,,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/harvox-subcortical-maxprob-thr50-2mm.nii
rsfmri_var_scs_ventraldcrh,fmri,abcd_mrirstv02,Temporal variance in ASEG ROI right-ventraldc,,Subcortical,,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/harvox-subcortical-maxprob-thr50-2mm.nii
rsfmri_c_ngd_ad_ngd_ad,fmri,abcd_betnet02,Average correlation between auditory network and auditory network,Auditory,Gordon Networks,6.0,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/gordon_networks_222.nii
rsfmri_c_ngd_ad_ngd_cgc,fmri,abcd_betnet02,Average correlation between auditory network and cingulo-opercular network,Auditory,Gordon Networks,6.0,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/gordon_networks_222.nii
rsfmri_c_ngd_ad_ngd_ca,fmri,abcd_betnet02,Average correlation between auditory network and cingulo-parietal network,Auditory,Gordon Networks,6.0,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/gordon_networks_222.nii
rsfmri_c_ngd_ad_ngd_dt,fmri,abcd_betnet02,Average correlation between auditory network and default network,Auditory,Gordon Networks,6.0,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/gordon_networks_222.nii
rsfmri_c_ngd_ad_ngd_dla,fmri,abcd_betnet02,Average correlation between auditory network and dorsal attention network,Auditory,Gordon Networks,6.0,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/gordon_networks_222.nii
rsfmri_c_ngd_ad_ngd_fo,fmri,abcd_betnet02,Average correlation between auditory network and fronto-parietal network,Auditory,Gordon Networks,6.0,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/gordon_networks_222.nii
rsfmri_c_ngd_ad_ngd_n,fmri,abcd_betnet02,"Average correlation between auditory network and ""none"" network",Auditory,Gordon Networks,6.0,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/gordon_networks_222.nii
rsfmri_c_ngd_ad_ngd_rspltp,fmri,abcd_betnet02,Average correlation between auditory network and retrosplenial temporal network,Auditory,Gordon Networks,6.0,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/gordon_networks_222.nii
rsfmri_c_ngd_ad_ngd_smh,fmri,abcd_betnet02,Average correlation between auditory network and sensorimotor hand network,Auditory,Gordon Networks,6.0,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/gordon_networks_222.nii
rsfmri_c_ngd_ad_ngd_smm,fmri,abcd_betnet02,Average correlation between auditory network and sensorimotor mouth network,Auditory,Gordon Networks,6.0,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/gordon_networks_222.nii
rsfmri_c_ngd_ad_ngd_sa,fmri,abcd_betnet02,Average correlation between auditory network and salience network,Auditory,Gordon Networks,6.0,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/gordon_networks_222.nii
rsfmri_c_ngd_ad_ngd_vta,fmri,abcd_betnet02,Average correlation between auditory network and ventral attention network,Auditory,Gordon Networks,6.0,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/gordon_networks_222.nii
rsfmri_c_ngd_ad_ngd_vs,fmri,abcd_betnet02,Average correlation between auditory network and visual network,Auditory,Gordon Networks,6.0,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/gordon_networks_222.nii
rsfmri_c_ngd_cgc_ngd_cgc,fmri,abcd_betnet02,Average correlation between cingulo-opercular network and cingulo-opercular network,CinguloOperc,Gordon Networks,10.0,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/gordon_networks_222.nii
rsfmri_c_ngd_cgc_ngd_ca,fmri,abcd_betnet02,Average correlation between cingulo-opercular network and cingulo-parietal network,CinguloOperc,Gordon Networks,10.0,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/gordon_networks_222.nii
rsfmri_c_ngd_cgc_ngd_dt,fmri,abcd_betnet02,Average correlation between cingulo-opercular network and default network,CinguloOperc,Gordon Networks,10.0,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/gordon_networks_222.nii
rsfmri_c_ngd_cgc_ngd_dla,fmri,abcd_betnet02,Average correlation between cingulo-opercular network and dorsal attention network,CinguloOperc,Gordon Networks,10.0,/Volumes/projects_herting/LABDOCS/Personnel/Katie/deltaABCD_clustering/resources/gordon_networks_222.nii
